PRODUCTO,CATEGORIA,SUBCATEGORIA,MARCA,PROVEEDOR,COSTO_MERCANCIA_PORCENTAJE_VENTA,PRECIO_LISTA_PROMEDIO,ROTACION
Guayos Nike Cr-102,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8069.0,Media
Guayos Nike Cr-103,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8623.0,Media
Guayos Nike Cr-104,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8369.0,Media
Guayos Nike Cr-105,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8310.0,Baja
Guayos Nike Cr-106,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8528.0,Baja
Guayos Nike Cr-107,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8301.0,Media
Guayos Nike Cr-108,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8340.0,Alta
Guayos Nike Cr-109,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8265.0,Media
Guayos Nike Cr-11,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8702.0,Baja
Guayos Nike Cr-110,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8435.0,Alta
Guayos Nike Cr-111,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8231.0,Alta
Guayos Nike Cr-112,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8345.0,Media
Guayos Nike Cr-113,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8402.0,Baja
Guayos Nike Cr-114,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8435.0,Alta
Guayos Nike Cr-115,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8216.0,Alta
Guayos Nike Cr-116,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8185.0,Baja
Guayos Nike Cr-117,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,7852.0,Media
Guayos Nike Cr-118,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8116.0,Media
Guayos Nike Cr-119,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8285.0,Baja
Guayos Nike Cr-12,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8375.0,Media
Guayos Nike Cr-120,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8169.0,Media
Guayos Nike Cr-121,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8276.0,Media
Guayos Nike Cr-122,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8130.0,Media
Guayos Nike Cr-13,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8381.0,Baja
Guayos Nike Cr-14,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8443.0,Baja
Guayos Nike Cr-15,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8670.0,Baja
Guayos Nike Cr-16,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8665.0,Baja
Guayos Nike Cr-17,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8792.0,Alta
Guayos Nike Cr-18,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,9008.0,Baja
Guayos Nike Cr-19,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8917.0,Alta
Guayos Nike Cr-20,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8730.0,Media
Guayos Nike Cr-21,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8317.0,Alta
Guayos Nike Cr-22,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8849.0,Alta
Guayos Nike Cr-23,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8268.0,Media
Guayos Nike Cr-24,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8252.0,Media
Guayos Nike Cr-25,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8475.0,Baja
Guayos Nike Cr-26,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8544.0,Baja
Guayos Nike Cr-27,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8449.0,Baja
Guayos Nike Cr-28,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8186.0,Baja
Guayos Nike Cr-29,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8365.0,Media
Guayos Nike Cr-30,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8526.0,Baja
Guayos Nike Cr-31,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8090.0,Alta
Guayos Nike Cr-32,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8080.0,Media
Guayos Nike Cr-33,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8098.0,Baja
Guayos Nike Cr-34,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8214.0,Media
Guayos Nike Cr-35,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8118.0,Media
Guayos Nike Cr-36,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8248.0,Baja
Guayos Nike Cr-37,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8126.0,Alta
Guayos Nike Cr-38,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8127.0,Media
Guayos Nike Cr-39,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8419.0,Media
Guayos Nike Cr-40,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8218.0,Baja
Guayos Nike Cr-41,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8206.0,Baja
Guayos Nike Cr-42,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8576.0,Media
Guayos Nike Cr-43,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8483.0,Media
Guayos Nike Cr-44,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8327.0,Alta
Guayos Nike Cr-45,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8260.0,Media
Guayos Nike Cr-46,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8515.0,Media
Guayos Nike Cr-47,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8487.0,Baja
Guayos Nike Cr-48,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8514.0,Media
Guayos Nike Cr-49,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8209.0,Baja
Guayos Nike Cr-50,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8411.0,Media
Guayos Nike Cr-51,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8333.0,Media
Guayos Nike Cr-52,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8096.0,Baja
Guayos Nike Cr-53,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8418.0,Baja
Guayos Nike Cr-54,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8367.0,Baja
Guayos Nike Cr-55,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8403.0,Baja
Guayos Nike Cr-56,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8201.0,Baja
Guayos Nike Cr-57,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8415.0,Media
Guayos Nike Cr-58,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8491.0,Media
Guayos Nike Cr-59,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8346.0,Alta
Guayos Nike Cr-60,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8133.0,Baja
Guayos Nike Cr-61,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8091.0,Baja
Guayos Nike Cr-62,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8159.0,Media
Guayos Nike Cr-63,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8507.0,Media
Guayos Nike Cr-64,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8212.0,Media
Guayos Nike Cr-65,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,7924.0,Baja
Guayos Nike Cr-66,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8155.0,Baja
Guayos Nike Cr-67,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,7989.0,Baja
Guayos Nike Cr-68,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8207.0,Alta
Guayos Nike Cr-69,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8355.0,Baja
Guayos Nike Cr-7,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,6107.0,Alta
Guayos Nike Cr-70,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8207.0,Media
Guayos Nike Cr-71,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8454.0,Alta
Guayos Nike Cr-72,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8321.0,Baja
Guayos Nike Cr-73,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8410.0,Baja
Guayos Nike Cr-74,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8080.0,Alta
Guayos Nike Cr-75,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,7886.0,Baja
Guayos Nike Cr-76,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8321.0,Media
Guayos Nike Cr-77,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8485.0,Media
Guayos Nike Cr-78,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8289.0,Media
Guayos Nike Cr-79,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8147.0,Baja
Guayos Nike Cr-8,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8272.0,Media
Guayos Nike Cr-80,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8560.0,Media
Guayos Nike Cr-81,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8445.0,Media
Guayos Nike Cr-82,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8277.0,Media
Guayos Nike Cr-83,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8255.0,Alta
Guayos Nike Cr-84,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8174.0,Media
Guayos Nike Cr-85,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,7817.0,Media
Guayos Nike Cr-86,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8115.0,Alta
Guayos Nike Cr-87,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8255.0,Baja
Guayos Nike Cr-88,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8109.0,Alta
Guayos Nike Cr-89,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8543.0,Baja
Guayos Nike Cr-9,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8784.0,Media
Guayos Nike Cr-90,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,7884.0,Media
Guayos Nike Cr-91,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8143.0,Baja
Guayos Nike Cr-92,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,7982.0,Media
Guayos Nike Cr-93,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,7930.0,Alta
Guayos Nike Cr-94,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8083.0,Media
Guayos Nike Cr-95,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8241.0,Media
Guayos Nike Cr-96,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8268.0,Baja
Guayos Nike Cr-97,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,7979.0,Media
Guayos Nike Cr-98,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8379.0,Baja
Guayos Nike Cr-99,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8036.0,Media
Husky Cuerda 200,Camping y Montanismo,Escalada y Montanismo,Marca propia Cumbre,Importadora Cumbre Outdoor,0.58,18883.0,Alta
Juego TrailChef Deluxe Cook,Camping y Montanismo,Cocina de Campamento,TrailChef,Importadora Cumbre Outdoor,0.58,12214.0,Alta
Kit de alivio compacto,Cuidado y Proteccion Outdoor,Cuidado Personal Outdoor,Marca propia Cumbre,Importadora Cumbre Outdoor,0.50,5268.0,Alta
Kit de cocina TrailChef,Camping y Montanismo,Cocina de Campamento,TrailChef,Importadora Cumbre Outdoor,0.58,6292.0,Alta
Loción BugShield,Cuidado y Proteccion Outdoor,Cuidado Personal Outdoor,Marca propia Cumbre,Importadora Cumbre Outdoor,0.50,10337.0,Alta
Lámpara EverGlow,Camping y Montanismo,Equipo Outdoor General,Marca propia Cumbre,Importadora Cumbre Outdoor,0.58,2956.0,Alta
Lámpara de escalada Firefly,Camping y Montanismo,Equipo Outdoor General,Firefly,Importadora Cumbre Outdoor,0.58,5805.0,Alta
Maletin Adidas,Futbol - Indumentaria y accesorios,Indumentaria y Accesorios de Futbol,Adidas,Adidas Distribucion Andina,0.55,9978.0,Alta
Martillo de granito,Camping y Montanismo,Escalada y Montanismo,Marca propia Cumbre,Importadora Cumbre Outdoor,0.58,5051.0,Alta
Mirador Star,Camping y Montanismo,Navegacion y Observacion,Marca propia Cumbre,Importadora Cumbre Outdoor,0.58,8405.0,Baja
Mochila Canyon Mula Weekender,Camping y Montanismo,Carga y Transporte,Marca propia Cumbre,Importadora Cumbre Outdoor,0.58,21758.0,Alta
Mochila Canyon Mule Journey,Camping y Montanismo,Carga y Transporte,Marca propia Cumbre,Importadora Cumbre Outdoor,0.58,7973.0,Baja
Mountain Man Extreme,Camping y Montanismo,Equipo Outdoor General,Marca propia Cumbre,Importadora Cumbre Outdoor,0.58,5428.0,Alta
Palo Course Pro,Golf,Equipo de Golf,Course Pro,Importadora Cumbre Outdoor,0.45,8113.0,Alta
Pantaloneta,Futbol - Indumentaria y accesorios,Indumentaria y Accesorios de Futbol,Marca propia Cumbre,Importadora Cumbre Outdoor,0.55,8616.0,Alta
Set de Madera Lady Hailstorm Titanium,Golf,Equipo de Golf,Marca propia Cumbre,Importadora Cumbre Outdoor,0.45,19694.0,Alta
Silvato Arbitro,Futbol - Indumentaria y accesorios,Indumentaria y Accesorios de Futbol,Marca propia Cumbre,Importadora Cumbre Outdoor,0.55,13956.0,Alta
Star Gazer 3,Camping y Montanismo,Navegacion y Observacion,Marca propia Cumbre,Importadora Cumbre Outdoor,0.58,8203.0,Baja
Sudadera Puma,Ropa y Accesorios Deportivos,Ropa Deportiva,Puma,Puma Sports Group,0.52,16886.0,Alta
Termo de Bicicleta,Ciclismo,Accesorios de Ciclismo,Marca propia Cumbre,Importadora Cumbre Outdoor,0.55,10799.0,Alta
TrailChef Double Flame,Camping y Montanismo,Cocina de Campamento,TrailChef,Importadora Cumbre Outdoor,0.58,7880.0,Baja
