PRODUCTO,CATEGORIA,SUBCATEGORIA,MARCA,PROVEEDOR,COSTO_MERCANCIA_PORCENTAJE_VENTA,PRECIO_LISTA_PROMEDIO,ROTACION
Guayos Nike Cr-79,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,58046.0,Media
Guayos Nike Cr-8,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,61888.0,Media
Guayos Nike Cr-80,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,57016.0,Baja
Guayos Nike Cr-81,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,57656.0,Baja
Guayos Nike Cr-82,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,57660.0,Alta
Guayos Nike Cr-83,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,59182.0,Media
Guayos Nike Cr-84,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,59106.0,Baja
Guayos Nike Cr-85,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,59045.0,Alta
Guayos Nike Cr-86,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,56339.0,Alta
Guayos Nike Cr-87,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,59097.0,Alta
Guayos Nike Cr-88,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,57675.0,Baja
Guayos Nike Cr-89,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,60481.0,Media
Guayos Nike Cr-9,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,58436.0,Baja
Guayos Nike Cr-90,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,60204.0,Media
Guayos Nike Cr-91,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,56604.0,Media
Guayos Nike Cr-92,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,57838.0,Baja
Guayos Nike Cr-93,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,57952.0,Media
Guayos Nike Cr-94,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,57569.0,Baja
Guayos Nike Cr-95,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,60061.0,Baja
Guayos Nike Cr-96,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,59847.0,Media
Guayos Nike Cr-97,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,57577.0,Media
Guayos Nike Cr-98,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,56654.0,Baja
Guayos Nike Cr-99,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,60451.0,Alta
Husky Cuerda 200,Camping y Montanismo,Escalada y Montanismo,Marca propia Cumbre,Importadora Cumbre Outdoor,0.58,46283.0,Alta
Juego TrailChef Deluxe Cook,Camping y Montanismo,Cocina de Campamento,TrailChef,Importadora Cumbre Outdoor,0.58,17135.0,Alta
Kit de alivio compacto,Cuidado y Proteccion Outdoor,Cuidado Personal Outdoor,Marca propia Cumbre,Importadora Cumbre Outdoor,0.50,26217.0,Alta
Kit de cocina TrailChef,Camping y Montanismo,Cocina de Campamento,TrailChef,Importadora Cumbre Outdoor,0.58,11294.0,Alta
Loción BugShield,Cuidado y Proteccion Outdoor,Cuidado Personal Outdoor,Marca propia Cumbre,Importadora Cumbre Outdoor,0.50,23040.0,Alta
Lámpara EverGlow,Camping y Montanismo,Equipo Outdoor General,Marca propia Cumbre,Importadora Cumbre Outdoor,0.58,11195.0,Alta
Lámpara de escalada Firefly,Camping y Montanismo,Equipo Outdoor General,Firefly,Importadora Cumbre Outdoor,0.58,38961.0,Alta
Maletin Adidas,Futbol - Indumentaria y accesorios,Indumentaria y Accesorios de Futbol,Adidas,Adidas Distribucion Andina,0.55,42547.0,Alta
Martillo de granito,Camping y Montanismo,Escalada y Montanismo,Marca propia Cumbre,Importadora Cumbre Outdoor,0.58,32984.0,Alta
Mirador Star,Camping y Montanismo,Navegacion y Observacion,Marca propia Cumbre,Importadora Cumbre Outdoor,0.58,59938.0,Baja
Mochila Canyon Mula Weekender,Camping y Montanismo,Carga y Transporte,Marca propia Cumbre,Importadora Cumbre Outdoor,0.58,31274.0,Alta
Mochila Canyon Mule Journey,Camping y Montanismo,Carga y Transporte,Marca propia Cumbre,Importadora Cumbre Outdoor,0.58,61314.0,Baja
Mountain Man Extreme,Camping y Montanismo,Equipo Outdoor General,Marca propia Cumbre,Importadora Cumbre Outdoor,0.58,11542.0,Alta
Palo Course Pro,Golf,Equipo de Golf,Course Pro,Importadora Cumbre Outdoor,0.45,20984.0,Alta
Pantaloneta,Futbol - Indumentaria y accesorios,Indumentaria y Accesorios de Futbol,Marca propia Cumbre,Importadora Cumbre Outdoor,0.55,23372.0,Alta
Set de Madera Lady Hailstorm Titanium,Golf,Equipo de Golf,Marca propia Cumbre,Importadora Cumbre Outdoor,0.45,27379.0,Alta
Silvato Arbitro,Futbol - Indumentaria y accesorios,Indumentaria y Accesorios de Futbol,Marca propia Cumbre,Importadora Cumbre Outdoor,0.55,52696.0,Alta
Star Gazer 3,Camping y Montanismo,Navegacion y Observacion,Marca propia Cumbre,Importadora Cumbre Outdoor,0.58,62125.0,Baja
Sudadera Puma,Ropa y Accesorios Deportivos,Ropa Deportiva,Puma,Puma Sports Group,0.52,30013.0,Alta
Termo de Bicicleta,Ciclismo,Accesorios de Ciclismo,Marca propia Cumbre,Importadora Cumbre Outdoor,0.55,16677.0,Alta
TrailChef Double Flame,Camping y Montanismo,Cocina de Campamento,TrailChef,Importadora Cumbre Outdoor,0.58,59141.0,Baja
